Task Name,Owner,Role,Due Day,SLA,Status,Evidence,BIR Form,Description
Review & Approve Form 1601-C,Senior Finance Manager,Accountable,Day 10,1 hour,pending,Approved Form 1601-C and review checklist,1601-C,Review Form 1601-C for accuracy before filing
File Form 1601-C via eFPS,Finance Supervisor,Responsible,Day 10,2 hours,pending,eFPS confirmation receipt and transaction reference number,1601-C,File Form 1601-C electronically via BIR eFPS system (deadline: Day 10)
Pay Withholding Tax Due,Finance Supervisor,Responsible,Day 10,1 hour,pending,Bank payment confirmation and remittance advice,1601-C,Remit withholding tax to BIR via authorized agent bank
Generate Trial Balance,Accounting Staff,Executor,Day 11,2 hours,pending,Unadjusted and adjusted trial balance reports,N/A,Run trial balance report after all entries posted
Prepare Income Statement,Finance Supervisor,Responsible,Day 11,4 hours,pending,Income statement (P&L) and variance analysis vs budget,N/A,Prepare income statement with comparative prior period data
Prepare Balance Sheet,Finance Supervisor,Responsible,Day 11,4 hours,pending,Balance sheet and equity reconciliation,N/A,Prepare balance sheet with comparative prior period data
Prepare Cash Flow Statement,Finance Supervisor,Responsible,Day 12,4 hours,pending,Cash flow statement (indirect method),N/A,Prepare statement of cash flows from operating and investing and financing activities
Prepare Financial Statement Notes,Finance Supervisor,Responsible,Day 12,3 hours,pending,Notes to financial statements and disclosure schedules,N/A,Prepare notes explaining accounting policies and contingencies and commitments
Perform Financial Statement Review,Senior Finance Manager,Accountable,Day 13,6 hours,pending,Review notes and variance analysis and questions list,N/A,Review financial statements for accuracy and completeness and reasonableness
Address Review Findings,Finance Supervisor,Responsible,Day 13,4 hours,pending,Resolution notes and correcting entries if needed,N/A,Respond to review questions and make necessary adjustments
Final Financial Statement Approval,Finance SSC Manager,Accountable,Day 14,2 hours,pending,Signed financial statements and approval memo,N/A,Final approval of financial statements for distribution
Distribute Financial Statements,Finance Supervisor,Responsible,Day 14,1 hour,pending,Distribution list and email confirmation,N/A,Distribute approved financial statements to stakeholders
Lock Accounting Period,Senior Finance Manager,Accountable,Day 15,1 hour,pending,Period lock confirmation and system screenshot,N/A,Lock accounting period in ERP to prevent further posting
Archive Month-End Documentation,Accounting Staff,Executor,Day 15,3 hours,pending,Archive checklist and folder structure confirmation,N/A,Archive all month-end close documentation to shared drive
Update Close Completion Log,Finance Supervisor,Responsible,Day 15,30 minutes,pending,Completed close log and performance metrics,N/A,Document close completion date and issues encountered and lessons learned
Prepare Form 2550Q,Finance Supervisor,Responsible,Day 20,4 hours,pending (quarterly only),Completed Form 2550Q and VAT reconciliation,2550Q,Prepare BIR Form 2550Q (Quarterly VAT Return) for Mar/Jun/Sep/Dec
Review & Approve Form 2550Q,Senior Finance Manager,Accountable,Day 20,2 hours,pending (quarterly only),Approved Form 2550Q and review checklist,2550Q,Review Form 2550Q for accuracy before filing
File Form 2550Q via eFPS,Finance Supervisor,Responsible,Day 25,2 hours,pending (quarterly only),eFPS confirmation receipt and transaction reference number,2550Q,File Form 2550Q electronically via BIR eFPS (deadline: 25 days after quarter-end)
Pay Quarterly VAT Due,Finance Supervisor,Responsible,Day 25,1 hour,pending (quarterly only),Bank payment confirmation and remittance advice,2550Q,Remit quarterly VAT to BIR via authorized agent bank
